Summary data collected by the Greenhouse Gas Reporting Program for 2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This data was reported to EPA by facilities as of 8/16/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All emissions data is presented in units of metric tons of carbon dioxide equivalent using GWP's from IPCC's AR4 (see FAQs tab),,,,,,,,,,,,,,Total Direct Emissions from Local Distribution Companies by Gas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facility Id,FRS Id,Facility Name,State where Emissions Occur,Reported City,Reported State,Reported Zip Code,Reported Address,Reported County,Reported Latitude,Reported Longitude,Primary NAICS Code,Industry Type (subparts),Total reported direct emissions from Local Distribution Companies,CO2 emissions (non-biogenic) ,Methane (CH4) emissions ,Nitrous Oxide (N2O) emissions ,Does the facility employ continuous emissions monitoring? ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1004086,110071160439,CenterPoint Energy Minnesota Gas,MN,Minneapolis,MN,55402,505 Nicollet Mall,HENNEPIN COUNTY,44.97619,-93.27482,221210,"NN-LDC,W-LDC",67972.55,81.8,67890.75,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000011,110000807379,Central Hudson Gas and Electric Corporation,NY,Poughkeepsie,NY,12601,284 South Avenue,DUTCHESS COUNTY,41.690648,-73.931605,221122,"NN-LDC,W-LDC",13653.95,181.2,13472.75,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007572,110071160090,Chattanoga Gas Company,TN,Chattanooga,TN,37421,2207 Olan Mills Drive,HAMILTON COUNTY,35.05026,-85.18439,221210,"NN-LDC,W-LDC",7908.5,9.5,7899,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1003491,110071159290,City Utilities Natural Gas Distribution System,MO,SPRINGFIELD,MO,65802,301 E. CENTRAL,GREENE COUNTY,37.21738,-93.29036,221210,"NN-LDC,W-LDC",6300.15,47.4,6252.75,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1008498,110071162116,City of Chanute - Utility Complex,KS,Chanute,KS,66720,1002 East 14th Street,NEOSHO COUNTY,37.690348,-95.401344,221210,"NN-LDC,W-LDC",1219.75,1.5,1218.25,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1004063,110071162224,City of Charlottesville,VA,Charlottesville,VA,22902,605 East Main St,CHARLOTTESVILLE CITY,38.0296,-78.47772,221210,"NN-LDC,W-LDC",1601.8,1.8,1600,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1005451,110071159444,City of Covington,TN,Covington,TN,38019,200 W. Washington Ave,TIPTON COUNTY,35.56296,-89.64792,921120,"NN-LDC,W-LDC",360,0.5,359.5,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1010955,,City of Deming,NM,Deming,NM,88030,1275 E. Pine St,,32.26879048,-107.7443796,221210,"NN-LDC,W-LDC",715.55,0.8,714.75,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1010159,,City of Lexington,NC,Lexington,NC,27292,28 West Center Street,,35.7352485,-80.2321313,221210,"NN-LDC,W-LDC",2286.4,2.9,2283.5,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1008098,110071159426,City of Mesa,AZ,Mesa,AZ,85211,640 N. Mesa Drive,MARICOPA COUNTY,33.418052,-111.831391,221210,"NN-LDC,W-LDC",7136.6,8.6,7128,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
